Source,created by,Type,Story ID,Question ID,Story,Question,Answer
Baron-Cohen et al. (1999),Experts,FauxPas,1f,1,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,1f,2,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.",What did they say that they should not have said? Answer with a quote only without explanations.,I'm sorry about your story.
Baron-Cohen et al. (1999),Experts,FauxPas,1f,3,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","Who won the story competition? Answer the question only, without explanations.",Alice
Baron-Cohen et al. (1999),Experts,FauxPas,1f,4,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","Did Alice realize that Emma hadn't heard the results of the competition? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,1c,1,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,1c,2,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,1c,3,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","Who won the story competition? Answer the question only, without explanations.",Mary
Baron-Cohen et al. (1999),Experts,Control,1c,4,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","Did Mary know that Jane hadn't heard the results of the competition? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,FauxPas,2f,1,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,2f,2,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ",What did they say that they should not have said? Answer with a quote only without explanations.,"""I hate dinner ladies. They're horrible."""
Baron-Cohen et al. (1999),Experts,FauxPas,2f,3,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","What job does Robert's Mum do? Answer the question only, without explanations.",Robert's Mum is a dinner lady.
Baron-Cohen et al. (1999),Experts,FauxPas,2f,4,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","Did Clare know that Robert's Mum was a dinner lady? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,2c,1,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,2c,2,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,2c,3,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""","What job does David's Mum do? Answer the question only, without explanations.",David's Mum is a teacher in the school where David attends.
